genres,movie_id,movie_title
Action,376994,X-Men: The Last Stand 
Adventure,376994,X-Men: The Last Stand 
Fantasy,376994,X-Men: The Last Stand 
Sci-Fi,376994,X-Men: The Last Stand 
Thriller,376994,X-Men: The Last Stand 
Adventure,1453405,Monsters University 
Animation,1453405,Monsters University 
Comedy,1453405,Monsters University 
Family,1453405,Monsters University 
Fantasy,1453405,Monsters University 
Action,1055369,Transformers: Revenge of the Fallen 
Adventure,1055369,Transformers: Revenge of the Fallen 
Sci-Fi,1055369,Transformers: Revenge of the Fallen 
Action,2109248,Transformers: Age of Extinction 
Adventure,2109248,Transformers: Age of Extinction 
Sci-Fi,2109248,Transformers: Age of Extinction 
Action,1872181,The Amazing Spider-Man 2 
Adventure,1872181,The Amazing Spider-Man 2 
Fantasy,1872181,The Amazing Spider-Man 2 
Sci-Fi,1872181,The Amazing Spider-Man 2 
Adventure,1216475,Cars 2 
Animation,1216475,Cars 2 
Comedy,1216475,Cars 2 
Family,1216475,Cars 2 
Sport,1216475,Cars 2 
Action,1133985,Green Lantern 
Adventure,1133985,Green Lantern 
Sci-Fi,1133985,Green Lantern 
Adventure,435761,Toy Story 3 
Animation,435761,Toy Story 3 
Comedy,435761,Toy Story 3 
Family,435761,Toy Story 3 
Fantasy,435761,Toy Story 3 
Action,438488,Terminator Salvation 
Adventure,438488,Terminator Salvation 
Sci-Fi,438488,Terminator Salvation 
Action,2820852,Furious 7 
Crime,2820852,Furious 7 
Thriller,2820852,Furious 7 
Action,816711,World War Z 
Adventure,816711,World War Z 
Horror,816711,World War Z 
Sci-Fi,816711,World War Z 
Thriller,816711,World War Z 
Action,1877832,X-Men: Days of Future Past 
Adventure,1877832,X-Men: Days of Future Past 
Fantasy,1877832,X-Men: Days of Future Past 
Sci-Fi,1877832,X-Men: Days of Future Past 
Thriller,1877832,X-Men: Days of Future Past 
Action,1408101,Star Trek Into Darkness 
Adventure,1408101,Star Trek Into Darkness 
Sci-Fi,1408101,Star Trek Into Darkness 
Adventure,1351685,Jack the Giant Slayer 
Fantasy,1351685,Jack the Giant Slayer 
Action,473075,Prince of Persia: The Sands of Time 
Adventure,473075,Prince of Persia: The Sands of Time 
Fantasy,473075,Prince of Persia: The Sands of Time 
Romance,473075,Prince of Persia: The Sands of Time 
Action,1663662,Pacific Rim 
Adventure,1663662,Pacific Rim 
Sci-Fi,1663662,Pacific Rim 
Action,1399103,Transformers: Dark of the Moon 
Adventure,1399103,Transformers: Dark of the Moon 
Sci-Fi,1399103,Transformers: Dark of the Moon 
Action,367882,Indiana Jones and the Kingdom of the Crystal Skull 
Adventure,367882,Indiana Jones and the Kingdom of the Crystal Skull 
Fantasy,367882,Indiana Jones and the Kingdom of the Crystal Skull 
Adventure,1979388,The Good Dinosaur 
Animation,1979388,The Good Dinosaur 
Comedy,1979388,The Good Dinosaur 
Family,1979388,The Good Dinosaur 
Fantasy,1979388,The Good Dinosaur 
Adventure,1217209,Brave 
Animation,1217209,Brave 
Comedy,1217209,Brave 
Family,1217209,Brave 
Fantasy,1217209,Brave 
Action,2660888,Star Trek Beyond 
Adventure,2660888,Star Trek Beyond 
Sci-Fi,2660888,Star Trek Beyond 
Thriller,2660888,Star Trek Beyond 
Adventure,910970,WALL·E 
Animation,910970,WALL·E 
Family,910970,WALL·E 
Sci-Fi,910970,WALL·E 
Action,293564,Rush Hour 3 
Comedy,293564,Rush Hour 3 
Crime,293564,Rush Hour 3 
Thriller,293564,Rush Hour 3 
Action,1190080,2012 
Adventure,1190080,2012 
Sci-Fi,1190080,2012 
Animation,1067106,A Christmas Carol 
Drama,1067106,A Christmas Carol 
Family,1067106,A Christmas Carol 
Fantasy,1067106,A Christmas Carol 
Action,1617661,Jupiter Ascending 
Adventure,1617661,Jupiter Ascending 
Sci-Fi,1617661,Jupiter Ascending 
Adventure,363771,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe "
Family,363771,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe "
Fantasy,363771,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe "
Action,3385516,X-Men: Apocalypse 
Adventure,3385516,X-Men: Apocalypse 
Sci-Fi,3385516,X-Men: Apocalypse 
Action,468569,The Dark Knight 
Crime,468569,The Dark Knight 
Drama,468569,The Dark Knight 
Thriller,468569,The Dark Knight 
Adventure,1049413,Up 
Animation,1049413,Up 
Comedy,1049413,Up 
Family,1049413,Up 
Action,892782,Monsters vs. Aliens 
Adventure,892782,Monsters vs. Aliens 
Animation,892782,Monsters vs. Aliens 
Comedy,892782,Monsters vs. Aliens 
Family,892782,Monsters vs. Aliens 
Sci-Fi,892782,Monsters vs. Aliens 
Action,371746,Iron Man 
Adventure,371746,Iron Man 
Sci-Fi,371746,Iron Man 
Adventure,970179,Hugo 
Drama,970179,Hugo 
Family,970179,Hugo 
Mystery,970179,Hugo 
Action,120891,Wild Wild West 
Comedy,120891,Wild Wild West 
Sci-Fi,120891,Wild Wild West 
Western,120891,Wild Wild West 
Action,859163,The Mummy: Tomb of the Dragon Emperor 
Adventure,859163,The Mummy: Tomb of the Dragon Emperor 
Fantasy,859163,The Mummy: Tomb of the Dragon Emperor 
Horror,859163,The Mummy: Tomb of the Dragon Emperor 
Thriller,859163,The Mummy: Tomb of the Dragon Emperor 
Action,1386697,Suicide Squad 
Adventure,1386697,Suicide Squad 
Comedy,1386697,Suicide Squad 
Sci-Fi,1386697,Suicide Squad 
Comedy,413099,Evan Almighty 
Family,413099,Evan Almighty 
Fantasy,413099,Evan Almighty 
Action,1631867,Edge of Tomorrow 
Adventure,1631867,Edge of Tomorrow 
Sci-Fi,1631867,Edge of Tomorrow 
Action,114898,Waterworld 
Adventure,114898,Waterworld 
Sci-Fi,114898,Waterworld 
Thriller,114898,Waterworld 
Action,1046173,G.I. Joe: The Rise of Cobra 
Adventure,1046173,G.I. Joe: The Rise of Cobra 
Sci-Fi,1046173,G.I. Joe: The Rise of Cobra 
Thriller,1046173,G.I. Joe: The Rise of Cobra 
Adventure,2096673,Inside Out 
Animation,2096673,Inside Out 
Comedy,2096673,Inside Out 
Drama,2096673,Inside Out 
Family,2096673,Inside Out 
Fantasy,2096673,Inside Out 
Action,1228705,Iron Man 2 
Adventure,1228705,Iron Man 2 
Sci-Fi,1228705,Iron Man 2 
Action,1735898,Snow White and the Huntsman 
Adventure,1735898,Snow White and the Huntsman 
Drama,1735898,Snow White and the Huntsman 
Fantasy,1735898,Snow White and the Huntsman 
Action,1587310,Maleficent 
Adventure,1587310,Maleficent 
Family,1587310,Maleficent 
Fantasy,1587310,Maleficent 
Romance,1587310,Maleficent 
Action,2103281,Dawn of the Planet of the Apes 
Adventure,2103281,Dawn of the Planet of the Apes 
Drama,2103281,Dawn of the Planet of the Apes 
Sci-Fi,2103281,Dawn of the Planet of the Apes 
Action,1335975,47 Ronin 
Adventure,1335975,47 Ronin 
Drama,1335975,47 Ronin 
Fantasy,1335975,47 Ronin 
Action,1843866,Captain America: The Winter Soldier 
Adventure,1843866,Captain America: The Winter Soldier 
Sci-Fi,1843866,Captain America: The Winter Soldier 
Adventure,892791,Shrek Forever After 
Animation,892791,Shrek Forever After 
Comedy,892791,Shrek Forever After 
Family,892791,Shrek Forever After 
Fantasy,892791,Shrek Forever After 
Action,1964418,Tomorrowland 
Adventure,1964418,Tomorrowland 
Family,1964418,Tomorrowland 
Mystery,1964418,Tomorrowland 
Sci-Fi,1964418,Tomorrowland 
Action,2245084,Big Hero 6 
Adventure,2245084,Big Hero 6 
Animation,2245084,Big Hero 6 
Comedy,2245084,Big Hero 6 
Drama,2245084,Big Hero 6 
Family,2245084,Big Hero 6 
Sci-Fi,2245084,Big Hero 6 
Adventure,1772341,Wreck-It Ralph 
Animation,1772341,Wreck-It Ralph 
Comedy,1772341,Wreck-It Ralph 
Family,1772341,Wreck-It Ralph 
Sci-Fi,1772341,Wreck-It Ralph 
Adventure,338348,The Polar Express 
Animation,338348,The Polar Express 
Family,338348,The Polar Express 
Fantasy,338348,The Polar Express 
Action,1628841,Independence Day: Resurgence 
Adventure,1628841,Independence Day: Resurgence 
Sci-Fi,1628841,Independence Day: Resurgence 
Adventure,892769,How to Train Your Dragon 
Animation,892769,How to Train Your Dragon 
Family,892769,How to Train Your Dragon 
Fantasy,892769,How to Train Your Dragon 
Action,181852,Terminator 3: Rise of the Machines 
Sci-Fi,181852,Terminator 3: Rise of the Machines 
Action,2015381,Guardians of the Galaxy 
Adventure,2015381,Guardians of the Galaxy 
Sci-Fi,2015381,Guardians of the Galaxy 
Adventure,816692,Interstellar 
Drama,816692,Interstellar 
Sci-Fi,816692,Interstellar 
Action,1375666,Inception 
Adventure,1375666,Inception 
Sci-Fi,1375666,Inception 
Thriller,1375666,Inception 
Adventure,903624,The Hobbit: An Unexpected Journey 
Fantasy,903624,The Hobbit: An Unexpected Journey 
Drama,421715,The Curious Case of Benjamin Button 
Fantasy,421715,The Curious Case of Benjamin Button 
Romance,421715,The Curious Case of Benjamin Button 
Action,1270798,X-Men: First Class 
Adventure,1270798,X-Men: First Class 
Sci-Fi,1270798,X-Men: First Class 
Adventure,1951266,The Hunger Games: Mockingjay - Part 2 
Sci-Fi,1951266,The Hunger Games: Mockingjay - Part 2 
Action,963966,The Sorcerer's Apprentice 
Adventure,963966,The Sorcerer's Apprentice 
Family,963966,The Sorcerer's Apprentice 
Fantasy,963966,The Sorcerer's Apprentice 
Action,409182,Poseidon 
Adventure,409182,Poseidon 
Drama,409182,Poseidon 
Thriller,409182,Poseidon 
Adventure,2567026,Alice Through the Looking Glass 
Family,2567026,Alice Through the Looking Glass 
Fantasy,2567026,Alice Through the Looking Glass 
Adventure,413267,Shrek the Third 
Animation,413267,Shrek the Third 
Comedy,413267,Shrek the Third 
Family,413267,Shrek the Third 
Fantasy,413267,Shrek the Third 
Action,803096,Warcraft 
Adventure,803096,Warcraft 
Fantasy,803096,Warcraft 
Action,1340138,Terminator Genisys 
Adventure,1340138,Terminator Genisys 
Sci-Fi,1340138,Terminator Genisys 
Adventure,980970,The Chronicles of Narnia: The Voyage of the Dawn Treader 
Family,980970,The Chronicles of Narnia: The Voyage of the Dawn Treader 
Fantasy,980970,The Chronicles of Narnia: The Voyage of the Dawn Treader 
Action,213149,Pearl Harbor 
Drama,213149,Pearl Harbor 
History,213149,Pearl Harbor 
Romance,213149,Pearl Harbor 
War,213149,Pearl Harbor 
Action,418279,Transformers 
Adventure,418279,Transformers 
Sci-Fi,418279,Transformers 
Action,346491,Alexander 
Adventure,346491,Alexander 
Biography,346491,Alexander 
Drama,346491,Alexander 
History,346491,Alexander 
Romance,346491,Alexander 
War,346491,Alexander 
Adventure,373889,Harry Potter and the Order of the Phoenix 
Family,373889,Harry Potter and the Order of the Phoenix 
Fantasy,373889,Harry Potter and the Order of the Phoenix 
Mystery,373889,Harry Potter and the Order of the Phoenix 
Adventure,330373,Harry Potter and the Goblet of Fire 
Family,330373,Harry Potter and the Goblet of Fire 
Fantasy,330373,Harry Potter and the Goblet of Fire 
Mystery,330373,Harry Potter and the Goblet of Fire 
Action,448157,Hancock 
Drama,448157,Hancock 
Drama,480249,I Am Legend 
Horror,480249,I Am Legend 
Sci-Fi,480249,I Am Legend 
Adventure,367594,Charlie and the Chocolate Factory 
Comedy,367594,Charlie and the Chocolate Factory 
Family,367594,Charlie and the Chocolate Factory 
Fantasy,367594,Charlie and the Chocolate Factory 
Animation,382932,Ratatouille 
Comedy,382932,Ratatouille 
Family,382932,Ratatouille 
Fantasy,382932,Ratatouille 
Action,372784,Batman Begins 
Adventure,372784,Batman Begins 
Action,479952,Madagascar: Escape 2 Africa 
Adventure,479952,Madagascar: Escape 2 Africa 
Animation,479952,Madagascar: Escape 2 Africa 
Comedy,479952,Madagascar: Escape 2 Africa 
Family,479952,Madagascar: Escape 2 Africa 
Adventure,1078912,Night at the Museum: Battle of the Smithsonian 
Comedy,1078912,Night at the Museum: Battle of the Smithsonian 
Family,1078912,Night at the Museum: Battle of the Smithsonian 
Fantasy,1078912,Night at the Museum: Battle of the Smithsonian 
Action,458525,X-Men Origins: Wolverine 
Adventure,458525,X-Men Origins: Wolverine 
Fantasy,458525,X-Men Origins: Wolverine 
Sci-Fi,458525,X-Men Origins: Wolverine 
Thriller,458525,X-Men Origins: Wolverine 
Action,242653,The Matrix Revolutions 
Sci-Fi,242653,The Matrix Revolutions 
Adventure,2294629,Frozen 
Animation,2294629,Frozen 
Comedy,2294629,Frozen 
Family,2294629,Frozen 
Fantasy,2294629,Frozen 
Musical,2294629,Frozen 
Action,234215,The Matrix Reloaded 
Sci-Fi,234215,The Matrix Reloaded 
Action,1981115,Thor: The Dark World 
Adventure,1981115,Thor: The Dark World 
Fantasy,1981115,Thor: The Dark World 
Action,1392190,Mad Max: Fury Road 
Adventure,1392190,Mad Max: Fury Road 
Sci-Fi,1392190,Mad Max: Fury Road 
Thriller,1392190,Mad Max: Fury Road 
Mystery,808151,Angels & Demons 
Thriller,808151,Angels & Demons 
Action,800369,Thor 
Adventure,800369,Thor 
Fantasy,800369,Thor 
Adventure,397892,Bolt 
Animation,397892,Bolt 
Comedy,397892,Bolt 
Drama,397892,Bolt 
Family,397892,Bolt 
Action,436339,G-Force 
Adventure,436339,G-Force 
Animation,436339,G-Force 
Comedy,436339,G-Force 
Family,436339,G-Force 
Fantasy,436339,G-Force 
Sci-Fi,436339,G-Force 
Action,1646987,Wrath of the Titans 
Adventure,1646987,Wrath of the Titans 
Fantasy,1646987,Wrath of the Titans 
Comedy,1077368,Dark Shadows 
Fantasy,1077368,Dark Shadows 
Horror,1077368,Dark Shadows 
Action,2381249,Mission: Impossible - Rogue Nation 
Adventure,2381249,Mission: Impossible - Rogue Nation 
Thriller,2381249,Mission: Impossible - Rogue Nation 
Drama,780653,The Wolfman 
Fantasy,780653,The Wolfman 
Horror,780653,The Wolfman 
Thriller,780653,The Wolfman 
Action,918940,The Legend of Tarzan 
Adventure,918940,The Legend of Tarzan 
Drama,918940,The Legend of Tarzan 
Romance,918940,The Legend of Tarzan 
Adventure,389790,Bee Movie 
Animation,389790,Bee Movie 
Comedy,389790,Bee Movie 
Family,389790,Bee Movie 
Action,1302011,Kung Fu Panda 2 
Adventure,1302011,Kung Fu Panda 2 
Animation,1302011,Kung Fu Panda 2 
Comedy,1302011,Kung Fu Panda 2 
Family,1302011,Kung Fu Panda 2 
Action,938283,The Last Airbender 
Adventure,938283,The Last Airbender 
Family,938283,The Last Airbender 
Fantasy,938283,The Last Airbender 
Action,317919,Mission: Impossible III 
Adventure,317919,Mission: Impossible III 
Thriller,317919,Mission: Impossible III 
Action,2334879,White House Down 
Drama,2334879,White House Down 
Thriller,2334879,White House Down 
Action,1305591,Mars Needs Moms 
Adventure,1305591,Mars Needs Moms 
Animation,1305591,Mars Needs Moms 
Comedy,1305591,Mars Needs Moms 
Family,1305591,Mars Needs Moms 
Sci-Fi,1305591,Mars Needs Moms 
Adventure,424095,Flushed Away 
Animation,424095,Flushed Away 
Comedy,424095,Flushed Away 
Family,424095,Flushed Away 
Adventure,864835,Mr. Peabody & Sherman 
Animation,864835,Mr. Peabody & Sherman 
Comedy,864835,Mr. Peabody & Sherman 
Family,864835,Mr. Peabody & Sherman 
Sci-Fi,864835,Mr. Peabody & Sherman 
Adventure,332452,Troy 
Adventure,1277953,Madagascar 3: Europe's Most Wanted 
Animation,1277953,Madagascar 3: Europe's Most Wanted 
Comedy,1277953,Madagascar 3: Europe's Most Wanted 
Family,1277953,Madagascar 3: Europe's Most Wanted 
Action,246460,Die Another Day 
Adventure,246460,Die Another Day 
Thriller,246460,Die Another Day 
Action,120591,Armageddon 
Adventure,120591,Armageddon 
Sci-Fi,120591,Armageddon 
Thriller,120591,Armageddon 
Action,120912,Men in Black II 
Adventure,120912,Men in Black II 
Comedy,120912,Men in Black II 
Family,120912,Men in Black II 
Fantasy,120912,Men in Black II 
Mystery,120912,Men in Black II 
Sci-Fi,120912,Men in Black II 
Action,442933,Beowulf 
Adventure,442933,Beowulf 
Animation,442933,Beowulf 
Fantasy,442933,Beowulf 
Action,2267968,Kung Fu Panda 3 
Adventure,2267968,Kung Fu Panda 3 
Animation,2267968,Kung Fu Panda 3 
Comedy,2267968,Kung Fu Panda 3 
Family,2267968,Kung Fu Panda 3 
Action,1229238,Mission: Impossible - Ghost Protocol 
Adventure,1229238,Mission: Impossible - Ghost Protocol 
Thriller,1229238,Mission: Impossible - Ghost Protocol 
Adventure,1446192,Rise of the Guardians 
Animation,1446192,Rise of the Guardians 
Family,1446192,Rise of the Guardians 
Fantasy,1446192,Rise of the Guardians 
Comedy,369441,Fun with Dick and Jane 
Crime,369441,Fun with Dick and Jane 
Action,325710,The Last Samurai 
Drama,325710,The Last Samurai 
History,325710,The Last Samurai 
War,325710,The Last Samurai 
Action,796366,Star Trek 
Adventure,796366,Star Trek 
Sci-Fi,796366,Star Trek 
Action,145487,Spider-Man 
Adventure,145487,Spider-Man 
Fantasy,145487,Spider-Man 
Romance,145487,Spider-Man 
Action,1646971,How to Train Your Dragon 2 
Adventure,1646971,How to Train Your Dragon 2 
Animation,1646971,How to Train Your Dragon 2 
Comedy,1646971,How to Train Your Dragon 2 
Family,1646971,How to Train Your Dragon 2 
Fantasy,1646971,How to Train Your Dragon 2 
Action,2404233,Gods of Egypt 
Adventure,2404233,Gods of Egypt 
Fantasy,2404233,Gods of Egypt 
Action,382992,Stealth 
Adventure,382992,Stealth 
Sci-Fi,382992,Stealth 
Thriller,382992,Stealth 
Action,409459,Watchmen 
Drama,409459,Watchmen 
Mystery,409459,Watchmen 
Sci-Fi,409459,Watchmen 
Action,122151,Lethal Weapon 4 
Crime,122151,Lethal Weapon 4 
Thriller,122151,Lethal Weapon 4 
Action,286716,Hulk 
Sci-Fi,286716,Hulk 
Action,1583421,G.I. Joe: Retaliation 
Adventure,1583421,G.I. Joe: Retaliation 
Sci-Fi,1583421,G.I. Joe: Retaliation 
Thriller,1583421,G.I. Joe: Retaliation 
Action,318649,Sahara 
Adventure,318649,Sahara 
Comedy,318649,Sahara 
Thriller,318649,Sahara 
Action,173840,Final Fantasy: The Spirits Within 
Adventure,173840,Final Fantasy: The Spirits Within 
Animation,173840,Final Fantasy: The Spirits Within 
Fantasy,173840,Final Fantasy: The Spirits Within 
Romance,173840,Final Fantasy: The Spirits Within 
Sci-Fi,173840,Final Fantasy: The Spirits Within 
Action,458339,Captain America: The First Avenger 
Adventure,458339,Captain America: The First Avenger 
Sci-Fi,458339,Captain America: The First Avenger 
Action,143145,The World Is Not Enough 
Adventure,143145,The World Is Not Enough 
Thriller,143145,The World Is Not Enough 
Action,311113,Master and Commander: The Far Side of the World 
Adventure,311113,Master and Commander: The Far Side of the World 
Drama,311113,Master and Commander: The Far Side of the World 
History,311113,Master and Commander: The Far Side of the World 
War,311113,Master and Commander: The Far Side of the World 
Animation,1402488,Happy Feet 2 
Comedy,1402488,Happy Feet 2 
Family,1402488,Happy Feet 2 
Musical,1402488,Happy Feet 2 
Action,800080,The Incredible Hulk 
Adventure,800080,The Incredible Hulk 
Sci-Fi,800080,The Incredible Hulk 
Action,86759,Miami Vice             
Crime,86759,Miami Vice             
Drama,86759,Miami Vice             
Mystery,86759,Miami Vice             
Thriller,86759,Miami Vice             
Adventure,3691740,The BFG 
Family,3691740,The BFG 
Fantasy,3691740,The BFG 
Adventure,1663202,The Revenant 
Drama,1663202,The Revenant 
Thriller,1663202,The Revenant 
Western,1663202,The Revenant 
Adventure,1860353,Turbo 
Animation,1860353,Turbo 
Comedy,1860353,Turbo 
Family,1860353,Turbo 
Sport,1860353,Turbo 
Adventure,1192628,Rango 
Animation,1192628,Rango 
Comedy,1192628,Rango 
Family,1192628,Rango 
Western,1192628,Rango 
Adventure,1911658,Penguins of Madagascar 
Animation,1911658,Penguins of Madagascar 
Comedy,1911658,Penguins of Madagascar 
Family,1911658,Penguins of Madagascar 
Action,440963,The Bourne Ultimatum 
Mystery,440963,The Bourne Ultimatum 
Thriller,440963,The Bourne Ultimatum 
Action,441773,Kung Fu Panda 
Adventure,441773,Kung Fu Panda 
Animation,441773,Kung Fu Panda 
Comedy,441773,Kung Fu Panda 
Family,441773,Kung Fu Panda 
Action,478970,Ant-Man 
Adventure,478970,Ant-Man 
Comedy,478970,Ant-Man 
Sci-Fi,478970,Ant-Man 
Adventure,1951264,The Hunger Games: Catching Fire 
Sci-Fi,1951264,The Hunger Games: Catching Fire 
Thriller,1951264,The Hunger Games: Catching Fire 
Adventure,1673434,The Twilight Saga: Breaking Dawn - Part 2 
Drama,1673434,The Twilight Saga: Breaking Dawn - Part 2 
Fantasy,1673434,The Twilight Saga: Breaking Dawn - Part 2 
Romance,1673434,The Twilight Saga: Breaking Dawn - Part 2 
Adventure,407304,War of the Worlds 
Sci-Fi,407304,War of the Worlds 
Thriller,407304,War of the Worlds 
Action,172156,Bad Boys II 
Comedy,172156,Bad Boys II 
Crime,172156,Bad Boys II 
Thriller,172156,Bad Boys II 
Action,448694,Puss in Boots 
Adventure,448694,Puss in Boots 
Animation,448694,Puss in Boots 
Comedy,448694,Puss in Boots 
Family,448694,Puss in Boots 
Fantasy,448694,Puss in Boots 
Action,944835,Salt 
Crime,944835,Salt 
Mystery,944835,Salt 
Thriller,944835,Salt 
Action,1959490,Noah 
Adventure,1959490,Noah 
Drama,1959490,Noah 
Action,983193,The Adventures of Tintin 
Adventure,983193,The Adventures of Tintin 
Family,983193,The Adventures of Tintin 
Mystery,983193,The Adventures of Tintin 
Adventure,304141,Harry Potter and the Prisoner of Azkaban 
Family,304141,Harry Potter and the Prisoner of Azkaban 
Fantasy,304141,Harry Potter and the Prisoner of Azkaban 
Mystery,304141,Harry Potter and the Prisoner of Azkaban 
Adventure,455824,Australia 
Drama,455824,Australia 
Romance,455824,Australia 
War,455824,Australia 
Action,1815862,After Earth 
Adventure,1815862,After Earth 
Sci-Fi,1815862,After Earth 
Adventure,130623,Dinosaur 
Animation,130623,Dinosaur 
Family,130623,Dinosaur 
Thriller,130623,Dinosaur 
Action,1680310,Harry Potter and the Deathly Hallows: Part II 
Fantasy,1680310,Harry Potter and the Deathly Hallows: Part II 
Adventure,2692250,Night at the Museum: Secret of the Tomb 
Comedy,2692250,Night at the Museum: Secret of the Tomb 
Family,2692250,Night at the Museum: Secret of the Tomb 
Fantasy,2692250,Night at the Museum: Secret of the Tomb 
Action,1001526,Megamind 
Animation,1001526,Megamind 
Comedy,1001526,Megamind 
Family,1001526,Megamind 
Sci-Fi,1001526,Megamind 
Adventure,241527,Harry Potter and the Sorcerer's Stone 
Family,241527,Harry Potter and the Sorcerer's Stone 
Fantasy,241527,Harry Potter and the Sorcerer's Stone 
Action,790736,R.I.P.D. 
Comedy,790736,R.I.P.D. 
Fantasy,790736,R.I.P.D. 
Action,4262980,Godzilla Resurgence 
Adventure,4262980,Godzilla Resurgence 
Drama,4262980,Godzilla Resurgence 
Horror,4262980,Godzilla Resurgence 
Sci-Fi,4262980,Godzilla Resurgence 
Action,325980,Pirates of the Caribbean: The Curse of the Black Pearl 
Adventure,325980,Pirates of the Caribbean: The Curse of the Black Pearl 
Fantasy,325980,Pirates of the Caribbean: The Curse of the Black Pearl 
Fantasy,1571403,Harry Potter and the Deathly Hallows: Part I 
Adventure,1951265,The Hunger Games: Mockingjay - Part 1 
Sci-Fi,1951265,The Hunger Games: Mockingjay - Part 1 
Thriller,1951265,The Hunger Games: Mockingjay - Part 1 
Mystery,382625,The Da Vinci Code 
Thriller,382625,The Da Vinci Code 
Adventure,2357291,Rio 2 
Animation,2357291,Rio 2 
Comedy,2357291,Rio 2 
Family,2357291,Rio 2 
Musical,2357291,Rio 2 
Action,290334,X-Men 2 
Adventure,290334,X-Men 2 
Fantasy,290334,X-Men 2 
Sci-Fi,290334,X-Men 2 
Thriller,290334,X-Men 2 
Action,1596343,Fast Five 
Crime,1596343,Fast Five 
Thriller,1596343,Fast Five 
Action,1515091,Sherlock Holmes: A Game of Shadows 
