actors,movie_id,movie_title
Alan Rickman,2567026,Alice Through the Looking Glass 
Johnny Depp,2567026,Alice Through the Looking Glass 
Anne Hathaway,2567026,Alice Through the Looking Glass 
Eric Idle,413267,Shrek the Third 
Justin Timberlake,413267,Shrek the Third 
Rupert Everett,413267,Shrek the Third 
Callum Rennie,803096,Warcraft 
Dominic Cooper,803096,Warcraft 
Ruth Negga,803096,Warcraft 
Emilia Clarke,1340138,Terminator Genisys 
J.K. Simmons,1340138,Terminator Genisys 
Matt Smith,1340138,Terminator Genisys 
Shane Rangi,980970,The Chronicles of Narnia: The Voyage of the Dawn Treader 
Bruce Spence,980970,The Chronicles of Narnia: The Voyage of the Dawn Treader 
Laura Brent,980970,The Chronicles of Narnia: The Voyage of the Dawn Treader 
Jaime King,213149,Pearl Harbor 
Jennifer Garner,213149,Pearl Harbor 
Mako,213149,Pearl Harbor 
Michael O'Neill,418279,Transformers 
Zack Ward,418279,Transformers 
Kevin Dunn,418279,Transformers 
Angelina Jolie Pitt,346491,Alexander 
Anthony Hopkins,346491,Alexander 
Brian Blessed,346491,Alexander 
Daniel Radcliffe,373889,Harry Potter and the Order of the Phoenix 
Robert Pattinson,373889,Harry Potter and the Order of the Phoenix 
Fiona Shaw,373889,Harry Potter and the Order of the Phoenix 
Daniel Radcliffe,330373,Harry Potter and the Goblet of Fire 
Robert Pattinson,330373,Harry Potter and the Goblet of Fire 
Rupert Grint,330373,Harry Potter and the Goblet of Fire 
Charlize Theron,448157,Hancock 
Will Smith,448157,Hancock 
Eddie Marsan,448157,Hancock 
Alice Braga,480249,I Am Legend 
Will Smith,480249,I Am Legend 
Willow Smith,480249,I Am Legend 
Christopher Lee,367594,Charlie and the Chocolate Factory 
Johnny Depp,367594,Charlie and the Chocolate Factory 
David Kelly,367594,Charlie and the Chocolate Factory 
John Ratzenberger,382932,Ratatouille 
Janeane Garofalo,382932,Ratatouille 
Brian Dennehy,382932,Ratatouille 
Liam Neeson,372784,Batman Begins 
Christian Bale,372784,Batman Begins 
Morgan Freeman,372784,Batman Begins 
Jada Pinkett Smith,479952,Madagascar: Escape 2 Africa 
Bernie Mac,479952,Madagascar: Escape 2 Africa 
Cedric the Entertainer,479952,Madagascar: Escape 2 Africa 
Rami Malek,1078912,Night at the Museum: Battle of the Smithsonian 
Robin Williams,1078912,Night at the Museum: Battle of the Smithsonian 
Steve Coogan,1078912,Night at the Museum: Battle of the Smithsonian 
Ryan Reynolds,458525,X-Men Origins: Wolverine 
Hugh Jackman,458525,X-Men Origins: Wolverine 
Dominic Monaghan,458525,X-Men Origins: Wolverine 
Collin Chou,242653,The Matrix Revolutions 
Essie Davis,242653,The Matrix Revolutions 
Nona Gaye,242653,The Matrix Revolutions 
Maurice LaMarche,2294629,Frozen 
Josh Gad,2294629,Frozen 
Livvy Stubenrauch,2294629,Frozen 
Daniel Bernhardt,234215,The Matrix Reloaded 
Steve Bastoni,234215,The Matrix Reloaded 
Helmut Bakaitis,234215,The Matrix Reloaded 
Natalie Portman,1981115,Thor: The Dark World 
Chris Hemsworth,1981115,Thor: The Dark World 
Anthony Hopkins,1981115,Thor: The Dark World 
Charlize Theron,1392190,Mad Max: Fury Road 
Tom Hardy,1392190,Mad Max: Fury Road 
Zoë Kravitz,1392190,Mad Max: Fury Road 
Ayelet Zurer,808151,Angels & Demons 
Tom Hanks,808151,Angels & Demons 
Armin Mueller-Stahl,808151,Angels & Demons 
Natalie Portman,800369,Thor 
Chris Hemsworth,800369,Thor 
Anthony Hopkins,800369,Thor 
Diedrich Bader,397892,Bolt 
Chloë Grace Moretz,397892,Bolt 
James Lipton,397892,Bolt 
Piper Mackenzie Harris,436339,G-Force 
Kelli Garner,436339,G-Force 
Niecy Nash,436339,G-Force 
Edgar Ramírez,1646987,Wrath of the Titans 
Liam Neeson,1646987,Wrath of the Titans 
Lily James,1646987,Wrath of the Titans 
Chloë Grace Moretz,1077368,Dark Shadows 
Johnny Depp,1077368,Dark Shadows 
Christopher Lee,1077368,Dark Shadows 
Jeremy Renner,2381249,Mission: Impossible - Rogue Nation 
Tom Cruise,2381249,Mission: Impossible - Rogue Nation 
Sean Harris,2381249,Mission: Impossible - Rogue Nation 
Simon Merrells,780653,The Wolfman 
Anthony Hopkins,780653,The Wolfman 
Art Malik,780653,The Wolfman 
Alexander Skarsgård,918940,The Legend of Tarzan 
Christoph Waltz,918940,The Legend of Tarzan 
Casper Crump,918940,The Legend of Tarzan 
Oprah Winfrey,389790,Bee Movie 
Matthew Broderick,389790,Bee Movie 
Rip Torn,389790,Bee Movie 
Gary Oldman,1302011,Kung Fu Panda 2 
Angelina Jolie Pitt,1302011,Kung Fu Panda 2 
Mike Bell,1302011,Kung Fu Panda 2 
Noah Ringer,938283,The Last Airbender 
Seychelle Gabriel,938283,The Last Airbender 
Aasif Mandvi,938283,The Last Airbender 
Tom Cruise,317919,Mission: Impossible III 
Philip Seymour Hoffman,317919,Mission: Impossible III 
Eddie Marsan,317919,Mission: Impossible III 
Jake Weber,2334879,White House Down 
Channing Tatum,2334879,White House Down 
Matt Craven,2334879,White House Down 
Dan Fogler,1305591,Mars Needs Moms 
Elisabeth Harnois,1305591,Mars Needs Moms 
Tom Everett Scott,1305591,Mars Needs Moms 
Kate Winslet,424095,Flushed Away 
Hugh Jackman,424095,Flushed Away 
David Suchet,424095,Flushed Away 
Zach Callison,864835,Mr. Peabody & Sherman 
Ty Burrell,864835,Mr. Peabody & Sherman 
Karan Brar,864835,Mr. Peabody & Sherman 
Orlando Bloom,332452,Troy 
Brad Pitt,332452,Troy 
Julian Glover,332452,Troy 
Martin Short,1277953,Madagascar 3: Europe's Most Wanted 
Jada Pinkett Smith,1277953,Madagascar 3: Europe's Most Wanted 
Cedric the Entertainer,1277953,Madagascar 3: Europe's Most Wanted 
Colin Salmon,246460,Die Another Day 
Toby Stephens,246460,Die Another Day 
Rick Yune,246460,Die Another Day 
Steve Buscemi,120591,Armageddon 
Bruce Willis,120591,Armageddon 
Will Patton,120591,Armageddon 
Rosario Dawson,120912,Men in Black II 
Will Smith,120912,Men in Black II 
Rip Torn,120912,Men in Black II 
Anthony Hopkins,442933,Beowulf 
Robin Wright,442933,Beowulf 
Sebastian Roché,442933,Beowulf 
Angelina Jolie Pitt,2267968,Kung Fu Panda 3 
J.K. Simmons,2267968,Kung Fu Panda 3 
Wayne Knight,2267968,Kung Fu Panda 3 
Jeremy Renner,1229238,Mission: Impossible - Ghost Protocol 
Tom Cruise,1229238,Mission: Impossible - Ghost Protocol 
Michael Nyqvist,1229238,Mission: Impossible - Ghost Protocol 
Kamil McFadden,1446192,Rise of the Guardians 
Hugh Jackman,1446192,Rise of the Guardians 
Khamani Griffin,1446192,Rise of the Guardians 
Richard Burgi,369441,Fun with Dick and Jane 
John Michael Higgins,369441,Fun with Dick and Jane 
David Herman,369441,Fun with Dick and Jane 
Tony Goldwyn,325710,The Last Samurai 
Tom Cruise,325710,The Last Samurai 
Chad Lindberg,325710,The Last Samurai 
Leonard Nimoy,796366,Star Trek 
Chris Hemsworth,796366,Star Trek 
Bruce Greenwood,796366,Star Trek 
James Franco,145487,Spider-Man 
J.K. Simmons,145487,Spider-Man 
Kirsten Dunst,145487,Spider-Man 
Djimon Hounsou,1646971,How to Train Your Dragon 2 
Gerard Butler,1646971,How to Train Your Dragon 2 
America Ferrera,1646971,How to Train Your Dragon 2 
Elodie Yung,2404233,Gods of Egypt 
Gerard Butler,2404233,Gods of Egypt 
Bryan Brown,2404233,Gods of Egypt 
Joe Morton,382992,Stealth 
Sam Shepard,382992,Stealth 
Richard Roxburgh,382992,Stealth 
Billy Crudup,409459,Watchmen 
Matt Frewer,409459,Watchmen 
Stephen McHattie,409459,Watchmen 
Rene Russo,122151,Lethal Weapon 4 
Jet Li,122151,Lethal Weapon 4 
Darlene Love,122151,Lethal Weapon 4 
Regi Davis,286716,Hulk 
Kevin Rankin,286716,Hulk 
Celia Weston,286716,Hulk 
Dwayne Johnson,1583421,G.I. Joe: Retaliation 
Channing Tatum,1583421,G.I. Joe: Retaliation 
Elodie Yung,1583421,G.I. Joe: Retaliation 
Rainn Wilson,318649,Sahara 
Matthew McConaughey,318649,Sahara 
Delroy Lindo,318649,Sahara 
Ming-Na Wen,173840,Final Fantasy: The Spirits Within 
Steve Buscemi,173840,Final Fantasy: The Spirits Within 
Jean Simmons,173840,Final Fantasy: The Spirits Within 
Dominic Cooper,458339,Captain America: The First Avenger 
Chris Evans,458339,Captain America: The First Avenger 
Hayley Atwell,458339,Captain America: The First Avenger 
Maria Grazia Cucinotta,143145,The World Is Not Enough 
Colin Salmon,143145,The World Is Not Enough 
Desmond Llewelyn,143145,The World Is Not Enough 
Lee Ingleby,311113,Master and Commander: The Far Side of the World 
James D'Arcy,311113,Master and Commander: The Far Side of the World 
David Threlfall,311113,Master and Commander: The Far Side of the World 
Brad Pitt,1402488,Happy Feet 2 
Robin Williams,1402488,Happy Feet 2 
Common,1402488,Happy Feet 2 
Peter Mensah,800080,The Incredible Hulk 
Ty Burrell,800080,The Incredible Hulk 
William Hurt,800080,The Incredible Hulk 
Philip Michael Thomas,86759,Miami Vice             
Don Johnson,86759,Miami Vice             
John Diehl,86759,Miami Vice             
Penelope Wilton,3691740,The BFG 
Mark Rylance,3691740,The BFG 
Rafe Spall,3691740,The BFG 
Tom Hardy,1663202,The Revenant 
Leonardo DiCaprio,1663202,The Revenant 
Lukas Haas,1663202,The Revenant 
Snoop Dogg,1860353,Turbo 
Ryan Reynolds,1860353,Turbo 
Ben Schwartz,1860353,Turbo 
Ray Winstone,1192628,Rango 
Johnny Depp,1192628,Rango 
Stephen Root,1192628,Rango 
Annet Mahendru,1911658,Penguins of Madagascar 
Benedict Cumberbatch,1911658,Penguins of Madagascar 
Andy Richter,1911658,Penguins of Madagascar 
Edgar Ramírez,440963,The Bourne Ultimatum 
Matt Damon,440963,The Bourne Ultimatum 
Albert Finney,440963,The Bourne Ultimatum 
Wayne Knight,441773,Kung Fu Panda 
Angelina Jolie Pitt,441773,Kung Fu Panda 
Dan Fogler,441773,Kung Fu Panda 
Hayley Atwell,478970,Ant-Man 
Judy Greer,478970,Ant-Man 
T.I.,478970,Ant-Man 
Josh Hutcherson,1951264,The Hunger Games: Catching Fire 
Jennifer Lawrence,1951264,The Hunger Games: Catching Fire 
Sandra Ellis Lafferty,1951264,The Hunger Games: Catching Fire 
Kristen Stewart,1673434,The Twilight Saga: Breaking Dawn - Part 2 
Robert Pattinson,1673434,The Twilight Saga: Breaking Dawn - Part 2 
Taylor Lautner,1673434,The Twilight Saga: Breaking Dawn - Part 2 
Lisa Ann Walter,407304,War of the Worlds 
Tom Cruise,407304,War of the Worlds 
Rick Gonzalez,407304,War of the Worlds 
Henry Rollins,172156,Bad Boys II 
Will Smith,172156,Bad Boys II 
Jordi Mollà,172156,Bad Boys II 
Constance Marie,448694,Puss in Boots 
Salma Hayek,448694,Puss in Boots 
Amy Sedaris,448694,Puss in Boots 
Andre Braugher,944835,Salt 
Angelina Jolie Pitt,944835,Salt 
August Diehl,944835,Salt 
Emma Watson,1959490,Noah 
Anthony Hopkins,1959490,Noah 
Logan Lerman,1959490,Noah 
Mackenzie Crook,983193,The Adventures of Tintin 
Toby Jones,983193,The Adventures of Tintin 
Tony Curran,983193,The Adventures of Tintin 
Gary Oldman,304141,Harry Potter and the Prisoner of Azkaban 
Daniel Radcliffe,304141,Harry Potter and the Prisoner of Azkaban 
Rupert Grint,304141,Harry Potter and the Prisoner of Azkaban 
Bryan Brown,455824,Australia 
Essie Davis,455824,Australia 
Eddie Baroo,455824,Australia 
Zoë Kravitz,1815862,After Earth 
Will Smith,1815862,After Earth 
Glenn Morshower,1815862,After Earth 
D.B. Sweeney,130623,Dinosaur 
Alfre Woodard,130623,Dinosaur 
Della Reese,130623,Dinosaur 
Dave Legeno,1680310,Harry Potter and the Deathly Hallows: Part II 
Rupert Grint,1680310,Harry Potter and the Deathly Hallows: Part II 
Ralph Ineson,1680310,Harry Potter and the Deathly Hallows: Part II 
Rami Malek,2692250,Night at the Museum: Secret of the Tomb 
Robin Williams,2692250,Night at the Museum: Secret of the Tomb 
Steve Coogan,2692250,Night at the Museum: Secret of the Tomb 
Brad Pitt,1001526,Megamind 
J.K. Simmons,1001526,Megamind 
Will Ferrell,1001526,Megamind 
Fiona Shaw,241527,Harry Potter and the Sorcerer's Stone 
Daniel Radcliffe,241527,Harry Potter and the Sorcerer's Stone 
Verne Troyer,241527,Harry Potter and the Sorcerer's Stone 
Jeff Bridges,790736,R.I.P.D. 
Ryan Reynolds,790736,R.I.P.D. 
Stephanie Szostak,790736,R.I.P.D. 
Shin'ya Tsukamoto,4262980,Godzilla Resurgence 
Mark Chinnery,4262980,Godzilla Resurgence 
Atsuko Maeda,4262980,Godzilla Resurgence 
Orlando Bloom,325980,Pirates of the Caribbean: The Curse of the Black Pearl 
Johnny Depp,325980,Pirates of the Caribbean: The Curse of the Black Pearl 
Jack Davenport,325980,Pirates of the Caribbean: The Curse of the Black Pearl 
Toby Jones,1571403,Harry Potter and the Deathly Hallows: Part I 
Rupert Grint,1571403,Harry Potter and the Deathly Hallows: Part I 
Alfred Enoch,1571403,Harry Potter and the Deathly Hallows: Part I 
Philip Seymour Hoffman,1951265,The Hunger Games: Mockingjay - Part 1 
Jennifer Lawrence,1951265,The Hunger Games: Mockingjay - Part 1 
Josh Hutcherson,1951265,The Hunger Games: Mockingjay - Part 1 
Seth Gabel,382625,The Da Vinci Code 
Tom Hanks,382625,The Da Vinci Code 
Jürgen Prochnow,382625,The Da Vinci Code 
Rachel Crow,2357291,Rio 2 
Miguel Ferrer,2357291,Rio 2 
Jeffrey Garcia,2357291,Rio 2 
Bruce Davison,290334,X-Men 2 
Hugh Jackman,290334,X-Men 2 
Aaron Stanford,290334,X-Men 2 
Vin Diesel,1596343,Fast Five 
Paul Walker,1596343,Fast Five 
Dwayne Johnson,1596343,Fast Five 
Eddie Marsan,1515091,Sherlock Holmes: A Game of Shadows 
Robert Downey Jr.,1515091,Sherlock Holmes: A Game of Shadows 
Paul Anderson,1515091,Sherlock Holmes: A Game of Shadows 
Vladimir Kulich,120657,The 13th Warrior 
Tony Curran,120657,The 13th Warrior 
Clive Russell,120657,The 13th Warrior 
Scott Glenn,1194173,The Bourne Legacy 
Jeremy Renner,1194173,The Bourne Legacy 
